DERS_KODU,DERS_ADI,T,U,L,AKTS,Z_S,DONEM,BOLUM,OGRETIM_UYESI,TARIH,SAAT
IIS3504,GÜMRÜK İŞLEMLERİ ve MEVZUATI,3,0,0,4,S,6,YBS,Dr.Öğr. Üyesi O.Barbaros KEMER,2026-04-16,10:00:00
IYS3218,ELEKTRONİK HESAP TABLOLARI,2,2,0,4,S,6,YBS,Doç.Dr. Erdal ÖZDOĞAN,2026-04-16,16:00:00
IIZ3208,PAZARLAMA,3,0,0,9,Z,6,YBS,Dr.Öğr. Üyesi Filiz E.BÖLÜKTEPE,2026-04-17,14:00:00
IIS3118,MESLEKİ YABANCI DİL II,3,0,0,4,S,6,YBS,Öğr.Gör. Recep HATİPOĞLU,2026-04-17,16:00:00
IYZ4218,PYTHON İLE VERİ BİLİMİ,3,0,0,3,Z,8,YBS,Prof.Dr. Melih ENGİN,2026-04-13,14:00:00
IYS4214,SİBER GÜVENLİK,3,0,0,6,S,8,YBS,Doç.Dr. Erdal ÖZDOĞAN,2026-04-13,16:00:00
IUS4206,İHRACAT TEŞVİKLERİ,3,0,0,6,S,8,YBS,Dr.Öğr. Üyesi O.Barbaros KEMER,2026-04-14,10:00:00
IYZ4110,SOSYAL MEDYA YÖNETİMİ,3,0,0,3,Z,8,YBS,Doç.Dr. Fatih GÜRSES,2026-04-14,12:00:00
IUS4208,SATIN ALMA ve ENVANTER YÖNETİMİ,3,0,0,6,S,8,YBS,Doç.Dr. Yüksel OKŞAK,2026-04-15,10:00:00
IIS4508,TİCARET HUKUKU,3,0,0,6,S,8,YBS,Öğr.Gör. Sevil KOYUNCU,2026-04-15,11:00:00
IYS4114,PORTFOLYO TASARIMIVE SUNUM TEKNİKLERİ,3,0,0,6,S,8,YBS,Öğr.Gör. Yeliz OKŞAK,2026-04-16,11:00:00
IYZ4202,PROJE GELİŞTİRME II,2,2,0,6,Z,8,YBS,"Doç.Dr. Fatih GÜRSES, Prof.Dr. Melih ENGİN, Doç.Dr. Erdal ÖZDOĞAN",2026-04-16,17:00:00
IIS4114,İŞYERİ UYGULAMASI (BAHAR),0,18,0,18,S,8,YBS,"Doç.Dr. Fatih GÜRSES, Doç.Dr. Erdal ÖZDOĞAN",2026-04-17,10:00:00
IIS4118,İLERİ DÜZEYDE YABANCI DİL II,2,2,0,6,S,8,YBS,Öğr.Gör. Recep HATİPOĞLU,2026-04-17,11:00:00
